event,event_date,fighter_1,fighter_2,result,method,round,time
UFC Fight Night: Overeem vs Arlovski,"May 08, 2016",Kyoji Horiguchi,Neil Seery,win,U-DEC,3,5:00
UFC Fight Night: Overeem vs Arlovski,"May 08, 2016",Leon Edwards,Dominic Waters,win,U-DEC,3,5:00
UFC Fight Night: Overeem vs Arlovski,"May 08, 2016",Yuta Sasaki,Willie Gates,win,"SUB

      

        Rear Naked Choke",2,3:30
UFC 197: Jones vs Saint Preux,"April 23, 2016",Jon Jones,Ovince Saint Preux,win,U-DEC,5,5:00
UFC 197: Jones vs Saint Preux,"April 23, 2016",Demetrious Johnson,Henry Cejudo,win,"KO/TKO

      

        Knees",1,2:49
UFC 197: Jones vs Saint Preux,"April 23, 2016",Edson Barboza,Anthony Pettis,win,U-DEC,3,5:00
UFC 197: Jones vs Saint Preux,"April 23, 2016",Robert Whittaker,Rafael Natal,win,U-DEC,3,5:00
UFC 197: Jones vs Saint Preux,"April 23, 2016",Yair Rodriguez,Andre Fili,win,"KO/TKO

      

        Kick",2,2:15
UFC 197: Jones vs Saint Preux,"April 23, 2016",Sergio Pettis,Chris Kelades,win,U-DEC,3,5:00
UFC 197: Jones vs Saint Preux,"April 23, 2016",Danny Roberts,Dominique Steele,win,U-DEC,3,5:00
UFC 197: Jones vs Saint Preux,"April 23, 2016",Carla Esparza,Juliana Lima,win,U-DEC,3,5:00
UFC 197: Jones vs Saint Preux,"April 23, 2016",James Vick,Glaico Franca Moreira,win,U-DEC,3,5:00
UFC 197: Jones vs Saint Preux,"April 23, 2016",Walt Harris,Cody East,win,"KO/TKO

      

        Punches",1,4:18
UFC 197: Jones vs Saint Preux,"April 23, 2016",Marcos Rogerio de Lima,Clint Hester,win,"SUB

      

        Arm Triangle",1,4:35
UFC 197: Jones vs Saint Preux,"April 23, 2016",Kevin Lee,Efrain Escudero,win,U-DEC,3,5:00
UFC on FOX: Teixeira vs Evans,"April 16, 2016",Glover Teixeira,Rashad Evans,win,"KO/TKO

      

        Punch",1,1:48
UFC on FOX: Teixeira vs Evans,"April 16, 2016",Rose Namajunas,Tecia Pennington,win,U-DEC,3,5:00
UFC on FOX: Teixeira vs Evans,"April 16, 2016",Khabib Nurmagomedov,Darrell Horcher,win,"KO/TKO

      

        Punches",2,3:38
UFC on FOX: Teixeira vs Evans,"April 16, 2016",Cub Swanson,Hacran Dias,win,U-DEC,3,5:00
UFC on FOX: Teixeira vs Evans,"April 16, 2016",Michael Chiesa,Beneil Dariush,win,"SUB

      

        Rear Naked Choke",2,1:20
UFC on FOX: Teixeira vs Evans,"April 16, 2016",Raquel Pennington,Bethe Correia,win,S-DEC,3,5:00
UFC on FOX: Teixeira vs Evans,"April 16, 2016",Santiago Ponzinibbio,Court McGee,win,"KO/TKO

      

        Punch",1,4:15
UFC on FOX: Teixeira vs Evans,"April 16, 2016",Michael Graves,Randy Brown,win,"SUB

      

        Rear Naked Choke",2,2:31
UFC on FOX: Teixeira vs Evans,"April 16, 2016",John Dodson,Manvel Gamburyan,win,"KO/TKO

      

        Punches",1,0:37
UFC on FOX: Teixeira vs Evans,"April 16, 2016",Cezar Ferreira,Oluwale Bamgbose,win,U-DEC,3,5:00
UFC on FOX: Teixeira vs Evans,"April 16, 2016",Elizeu Zaleski dos Santos,Omari Akhmedov,win,"KO/TKO

      

        Knee",3,3:03
UFC Fight Night: Rothwell vs Dos Santos,"April 10, 2016",Junior Dos Santos,Ben Rothwell,win,U-DEC,5,5:00
UFC Fight Night: Rothwell vs Dos Santos,"April 10, 2016",Derrick Lewis,Gabriel Gonzaga,win,"KO/TKO

      

        Punches",1,4:48
UFC Fight Night: Rothwell vs Dos Santos,"April 10, 2016",Francis Ngannou,Curtis Blaydes,win,KO/TKO,2,5:00
UFC Fight Night: Rothwell vs Dos Santos,"April 10, 2016",Timothy Johnson,Marcin Tybura,win,U-DEC,3,5:00
UFC Fight Night: Rothwell vs Dos Santos,"April 10, 2016",Jan Blachowicz,Igor Pokrajac,win,U-DEC,3,5:00
UFC Fight Night: Rothwell vs Dos Santos,"April 10, 2016",Maryna Moroz,Cristina Stanciu,win,U-DEC,3,5:00
UFC Fight Night: Rothwell vs Dos Santos,"April 10, 2016",Zak Cummings,Nicolas Dalby,win,U-DEC,3,5:00
UFC Fight Night: Rothwell vs Dos Santos,"April 10, 2016",Alejandro Perez,Ian Entwistle,win,"KO/TKO

      

        Punches",1,4:04
UFC Fight Night: Rothwell vs Dos Santos,"April 10, 2016",Mairbek Taisumov,Damir Hadzovic,win,"KO/TKO

      

        Punch",1,3:44
UFC Fight Night: Rothwell vs Dos Santos,"April 10, 2016",Damian Stasiak,Filip Pejic,win,"SUB

      

        Rear Naked Choke",1,2:16
UFC Fight Night: Rothwell vs Dos Santos,"April 10, 2016",Lucas Martins,Robert Whiteford,win,S-DEC,3,5:00
UFC Fight Night: Rothwell vs Dos Santos,"April 10, 2016",Jared Cannonier,Cyril Asker,win,"KO/TKO

      

        Punch",1,2:44
UFC Fight Night: Rothwell vs Dos Santos,"April 10, 2016",Bojan Velickovic,Alessio Di Chirico,win,U-DEC,3,5:00
UFC Fight Night: Hunt vs Mir,"March 19, 2016",Mark Hunt,Frank Mir,win,"KO/TKO

      

        Punch",1,3:01
UFC Fight Night: Hunt vs Mir,"March 19, 2016",Neil Magny,Hector Lombard,win,"KO/TKO

      

        Punches",3,0:46
UFC Fight Night: Hunt vs Mir,"March 19, 2016",Jake Matthews,Johnny Case,win,"SUB

      

        Rear Naked Choke",3,4:45
UFC Fight Night: Hunt vs Mir,"March 19, 2016",Daniel Kelly,Antonio Carlos Junior,win,"KO/TKO

      

        Punches",3,1:36
UFC Fight Night: Hunt vs Mir,"March 19, 2016",Steve Bosse,James Te Huna,win,"KO/TKO

      

        Punch",1,0:52
UFC Fight Night: Hunt vs Mir,"March 19, 2016",Bec Rawlings,Seo Hee Ham,win,U-DEC,3,5:00
UFC Fight Night: Hunt vs Mir,"March 19, 2016",Alan Jouban,Brendan O'Reilly,win,"KO/TKO

      

        Elbow",1,2:15
UFC Fight Night: Hunt vs Mir,"March 19, 2016",Dan Hooker,Mark Eddiva,win,"SUB

      

        Guillotine Choke",1,1:24
UFC Fight Night: Hunt vs Mir,"March 19, 2016",Leslie Smith,Rin Nakai,win,U-DEC,3,5:00
UFC Fight Night: Hunt vs Mir,"March 19, 2016",Viscardi Andrade,Richard Walsh,win,U-DEC,3,5:00
UFC Fight Night: Hunt vs Mir,"March 19, 2016",Ross Pearson,Chad Laprise,win,S-DEC,3,5:00
UFC Fight Night: Hunt vs Mir,"March 19, 2016",Alan Patrick,Damien Brown,win,U-DEC,3,5:00
UFC 196: McGregor vs Diaz,"March 05, 2016",Nate Diaz,Conor McGregor,win,"SUB

      

        Rear Naked Choke",2,4:12
UFC 196: McGregor vs Diaz,"March 05, 2016",Miesha Tate,Holly Holm,win,"SUB

      

        Rear Naked Choke",5,3:30
UFC 196: McGregor vs Diaz,"March 05, 2016",Ilir Latifi,Gian Villante,win,U-DEC,3,5:00
UFC 196: McGregor vs Diaz,"March 05, 2016",Corey Anderson,Tom Lawlor,win,U-DEC,3,5:00
UFC 196: McGregor vs Diaz,"March 05, 2016",Amanda Nunes,Valentina Shevchenko,win,U-DEC,3,5:00
UFC 196: McGregor vs Diaz,"March 05, 2016",Siyar Bahadurzada,Brandon Thatch,win,"SUB

      

        Arm Triangle",3,4:11
UFC 196: McGregor vs Diaz,"March 05, 2016",Nordine Taleb,Erick Silva,win,"KO/TKO

      

        Punch",2,1:34
UFC 196: McGregor vs Diaz,"March 05, 2016",Vitor Miranda,Marcelo Guimaraes,win,"KO/TKO

      

        Kick",2,1:09
UFC 196: McGregor vs Diaz,"March 05, 2016",Darren Elkins,Chas Skelly,win,U-DEC,3,5:00
UFC 196: McGregor vs Diaz,"March 05, 2016",Diego Sanchez,Jim Miller,win,U-DEC,3,5:00
UFC 196: McGregor vs Diaz,"March 05, 2016",Jason Saggo,Justin Salas,win,"KO/TKO

      

        Punches",1,4:31
UFC 196: McGregor vs Diaz,"March 05, 2016",Teruto Ishihara,Julian Erosa,win,"KO/TKO

      

        Punch",2,0:34
UFC Fight Night: Silva vs Bisping,"February 27, 2016",Michael Bisping,Anderson Silva,win,U-DEC,5,5:00
UFC Fight Night: Silva vs Bisping,"February 27, 2016",Gegard Mousasi,Thales Leites,win,U-DEC,3,5:00
UFC Fight Night: Silva vs Bisping,"February 27, 2016",Tom Breese,Keita Nakamura,win,U-DEC,3,5:00
UFC Fight Night: Silva vs Bisping,"February 27, 2016",Brad Pickett,Francisco Rivera,win,S-DEC,3,5:00
UFC Fight Night: Silva vs Bisping,"February 27, 2016",Makwan Amirkhani,Mike Wilkinson,win,U-DEC,3,5:00
UFC Fight Night: Silva vs Bisping,"February 27, 2016",Davey Grant,Marlon Vera,win,U-DEC,3,5:00
UFC Fight Night: Silva vs Bisping,"February 27, 2016",Scott Askham,Chris Dempsey,win,"KO/TKO

      

        Punch",1,4:45
UFC Fight Night: Silva vs Bisping,"February 27, 2016",Arnold Allen,Yaotzin Meza,win,U-DEC,3,5:00
UFC Fight Night: Silva vs Bisping,"February 27, 2016",Krzysztof Jotko,Brad Scott,win,U-DEC,3,5:00
UFC Fight Night: Silva vs Bisping,"February 27, 2016",Rustam Khabilov,Norman Parke,win,U-DEC,3,5:00
UFC Fight Night: Silva vs Bisping,"February 27, 2016",Daniel Omielanczuk,Jarjis Danho,win,M-DEC,3,1:31
UFC Fight Night: Silva vs Bisping,"February 27, 2016",Teemu Packalen,Thibault Gouti,win,"SUB

      

        Rear Naked Choke",1,0:24
UFC Fight Night: Silva vs Bisping,"February 27, 2016",David Teymur,Martin Svensson,win,"KO/TKO

      

        Punch",2,1:26
UFC Fight Night: Cowboy vs Cowboy,"February 21, 2016",Donald Cerrone,Alex Oliveira,win,"SUB

      

        Triangle Choke",1,2:33
UFC Fight Night: Cowboy vs Cowboy,"February 21, 2016",Derek Brunson,Roan Carneiro,win,"KO/TKO

      

        Punches",1,2:38
UFC Fight Night: Cowboy vs Cowboy,"February 21, 2016",Cody Garbrandt,Augusto Mendes,win,"KO/TKO

      

        Punches",1,4:18
UFC Fight Night: Cowboy vs Cowboy,"February 21, 2016",Dennis Bermudez,Tatsuya Kawajiri,win,U-DEC,3,5:00
UFC Fight Night: Cowboy vs Cowboy,"February 21, 2016",Chris Camozzi,Joe Riggs,win,"KO/TKO

      

        Knees",1,0:26
UFC Fight Night: Cowboy vs Cowboy,"February 21, 2016",James Krause,Shane Campbell,win,U-DEC,3,5:00
UFC Fight Night: Cowboy vs Cowboy,"February 21, 2016",Sean Strickland,Alex Garcia,win,"KO/TKO

      

        Punches",3,4:25
UFC Fight Night: Cowboy vs Cowboy,"February 21, 2016",Oluwale Bamgbose,Daniel Sarafian,win,"KO/TKO

      

        Kick",1,1:00
UFC Fight Night: Cowboy vs Cowboy,"February 21, 2016",Anthony Smith,Leonardo Guimaraes,win,U-DEC,3,5:00
UFC Fight Night: Cowboy vs Cowboy,"February 21, 2016",Nathan Coy,Jonavin Webb,win,U-DEC,3,5:00
UFC Fight Night: Cowboy vs Cowboy,"February 21, 2016",Ashlee Evans-Smith,Marion Reneau,win,S-DEC,3,5:00
UFC Fight Night: Cowboy vs Cowboy,"February 21, 2016",Lauren Murphy,Kelly Faszholz,win,"KO/TKO

      

        Punches",3,4:55
UFC Fight Night: Cowboy vs Cowboy,"February 21, 2016",Shamil Abdurakhimov,Anthony Hamilton,win,U-DEC,3,5:00
UFC Fight Night: Hendricks vs Thompson,"February 06, 2016",Stephen Thompson,Johny Hendricks,win,"KO/TKO

      

        Punch",1,3:31
UFC Fight Night: Hendricks vs Thompson,"February 06, 2016",Roy Nelson,Jared Rosholt,win,U-DEC,3,5:00
UFC Fight Night: Hendricks vs Thompson,"February 06, 2016",Ovince Saint Preux,Rafael Cavalcante,win,U-DEC,3,5:00
UFC Fight Night: Hendricks vs Thompson,"February 06, 2016",Joseph Benavidez,Zach Makovsky,win,U-DEC,3,5:00
UFC Fight Night: Hendricks vs Thompson,"February 06, 2016",Misha Cirkunov,Alex Nicholson,win,"SUB

      

        Neck Crank",2,1:28
UFC Fight Night: Hendricks vs Thompson,"February 06, 2016",Mike Pyle,Sean Spencer,win,"KO/TKO

      

        Elbow",3,4:25
UFC Fight Night: Hendricks vs Thompson,"February 06, 2016",Joshua Burkman,KJ Noons,win,U-DEC,3,5:00
UFC Fight Night: Hendricks vs Thompson,"February 06, 2016",Derrick Lewis,Damian Grabowski,win,"KO/TKO

      

        Punch",1,2:17
UFC Fight Night: Hendricks vs Thompson,"February 06, 2016",Justin Scoggins,Ray Borg,win,U-DEC,3,5:00
UFC Fight Night: Hendricks vs Thompson,"February 06, 2016",Diego Rivas,Noad Lahat,win,"KO/TKO

      

        Flying Knee",2,0:23
UFC Fight Night: Hendricks vs Thompson,"February 06, 2016",Mickey Gall,Mike Jackson,win,"SUB

      

        Rear Naked Choke",1,0:45
UFC Fight Night: Hendricks vs Thompson,"February 06, 2016",Alex White,Artem Lobov,win,U-DEC,3,5:00
UFC on FOX: Johnson vs. Bader,"January 30, 2016",Anthony Johnson,Ryan Bader,win,"KO/TKO

      

        Punches",1,1:26
UFC on FOX: Johnson vs. Bader,"January 30, 2016",Ben Rothwell,Josh Barnett,win,"SUB

      

        Guillotine Choke",2,3:48
UFC on FOX: Johnson vs. Bader,"January 30, 2016",Jimmie Rivera,Iuri Alcantara,win,U-DEC,3,5:00
UFC on FOX: Johnson vs. Bader,"January 30, 2016",Bryan Barberena,Sage Northcutt,win,"SUB

      

        Arm Triangle",2,3:06
UFC on FOX: Johnson vs. Bader,"January 30, 2016",Tarec Saffiedine,Jake Ellenberger,win,U-DEC,3,5:00
UFC on FOX: Johnson vs. Bader,"January 30, 2016",Diego Ferreira,Olivier Aubin-Mercier,win,U-DEC,3,5:00
UFC on FOX: Johnson vs. Bader,"January 30, 2016",Rafael Natal,Kevin Casey,win,"KO/TKO

      

        Punches",3,3:37
UFC on FOX: Johnson vs. Bader,"January 30, 2016",Wilson Reis,Dustin Ortiz,win,U-DEC,3,5:00
UFC on FOX: Johnson vs. Bader,"January 30, 2016",Alexander Yakovlev,George Sullivan,win,"KO/TKO

      

        Punches",1,3:59
UFC on FOX: Johnson vs. Bader,"January 30, 2016",Alex Caceres,Masio Fullen,win,U-DEC,3,5:00
UFC on FOX: Johnson vs. Bader,"January 30, 2016",Randy Brown,Matt Dwyer,win,U-DEC,3,5:00
UFC on FOX: Johnson vs. Bader,"January 30, 2016",Damon Jackson,Levan Makashvili,"draw


draw",M-DEC,3,5:00
UFC on FOX: Johnson vs. Bader,"January 30, 2016",Anthony Rocco Martin,Felipe Olivieri,win,"SUB

      

        Rear Naked Choke",3,3:02
UFC Fight Night: Dillashaw vs Cruz,"January 17, 2016",Dominick Cruz,TJ Dillashaw,win,S-DEC,5,5:00
UFC Fight Night: Dillashaw vs Cruz,"January 17, 2016",Eddie Alvarez,Anthony Pettis,win,S-DEC,3,5:00
UFC Fight Night: Dillashaw vs Cruz,"January 17, 2016",Travis Browne,Matt Mitrione,win,"KO/TKO

      

        Punches",3,4:09
UFC Fight Night: Dillashaw vs Cruz,"January 17, 2016",Francisco Trinaldo,Ross Pearson,win,U-DEC,3,5:00
UFC Fight Night: Dillashaw vs Cruz,"January 17, 2016",Patrick Cote,Ben Saunders,win,"KO/TKO

      

        Punches",2,1:14
UFC Fight Night: Dillashaw vs Cruz,"January 17, 2016",Ed Herman,Tim Boetsch,win,"KO/TKO

      

        Knee",2,1:39
UFC Fight Night: Dillashaw vs Cruz,"January 17, 2016",Chris Wade,Mehdi Baghdad,win,"SUB

      

        Rear Naked Choke",1,4:30
UFC Fight Night: Dillashaw vs Cruz,"January 17, 2016",Luke Sanders,Maximo Blanco,win,"SUB

      

        Rear Naked Choke",1,3:38
UFC Fight Night: Dillashaw vs Cruz,"January 17, 2016",Paul Felder,Daron Cruickshank,win,"SUB

      

        Rear Naked Choke",3,3:56
UFC Fight Night: Dillashaw vs Cruz,"January 17, 2016",Ilir Latifi,Sean O'Connell,win,"KO/TKO

      

        Punch",1,0:30
UFC Fight Night: Dillashaw vs Cruz,"January 17, 2016",Charles Rosa,Kyle Bochniak,win,U-DEC,3,5:00
UFC Fight Night: Dillashaw vs Cruz,"January 17, 2016",Rob Font,Joey Gomez,win,"KO/TKO

      

        Punches",2,4:13
UFC Fight Night: Dillashaw vs Cruz,"January 17, 2016",Francimar Barroso,Elvis Mutapcic,win,U-DEC,3,5:00
UFC 195: Lawler vs Condit,"January 02, 2016",Robbie Lawler,Carlos Condit,win,S-DEC,5,5:00
UFC 195: Lawler vs Condit,"January 02, 2016",Stipe Miocic,Andrei Arlovski,win,"KO/TKO

      

        Punch",1,0:54
UFC 195: Lawler vs Condit,"January 02, 2016",Albert Tumenov,Lorenz Larkin,win,S-DEC,3,5:00
UFC 195: Lawler vs Condit,"January 02, 2016",Brian Ortega,Diego Brandao,win,"SUB

      

        Triangle Choke",3,1:37
UFC 195: Lawler vs Condit,"January 02, 2016",Abel Trujillo,Tony Sims,win,"SUB

      

        Guillotine Choke",1,3:18
UFC 195: Lawler vs Condit,"January 02, 2016",Michael McDonald,Masanori Kanehara,win,"SUB

      

        Rear Naked Choke",2,2:09
UFC 195: Lawler vs Condit,"January 02, 2016",Alex Morono,Kyle Noke,win,S-DEC,3,5:00
UFC 195: Lawler vs Condit,"January 02, 2016",Justine Kish,Nina Nunes,win,U-DEC,3,5:00
UFC 195: Lawler vs Condit,"January 02, 2016",Drew Dober,Scott Holtzman,win,U-DEC,3,5:00
UFC 195: Lawler vs Condit,"January 02, 2016",Dustin Poirier,Joe Duffy,win,U-DEC,3,5:00
UFC 195: Lawler vs Condit,"January 02, 2016",Michinori Tanaka,Joe Soto,win,S-DEC,3,5:00
UFC 195: Lawler vs Condit,"January 02, 2016",Sheldon Westcott,Edgar Garcia,win,"KO/TKO

      

        Punches",1,3:12
UFC on FOX: Dos Anjos vs. Cowboy 2,"December 19, 2015",Rafael Dos Anjos,Donald Cerrone,win,"KO/TKO

      

        Punches",1,1:06
UFC on FOX: Dos Anjos vs. Cowboy 2,"December 19, 2015",Alistair Overeem,Junior Dos Santos,win,"KO/TKO

      

        Punches",2,4:43
UFC on FOX: Dos Anjos vs. Cowboy 2,"December 19, 2015",Nate Diaz,Michael Johnson,win,U-DEC,3,5:00
UFC on FOX: Dos Anjos vs. Cowboy 2,"December 19, 2015",Karolina Kowalkiewicz,Randa Markos,win,U-DEC,3,5:00
UFC on FOX: Dos Anjos vs. Cowboy 2,"December 19, 2015",Charles Oliveira,Myles Jury,win,"SUB

      

        Guillotine Choke",1,3:05
UFC on FOX: Dos Anjos vs. Cowboy 2,"December 19, 2015",Nate Marquardt,CB Dollaway,win,"KO/TKO

      

        Punch",2,0:28
UFC on FOX: Dos Anjos vs. Cowboy 2,"December 19, 2015",Valentina Shevchenko,Sarah Kaufman,win,S-DEC,3,5:00
UFC on FOX: Dos Anjos vs. Cowboy 2,"December 19, 2015",Tamdan McCrory,Josh Samman,win,"SUB

      

        Triangle Choke",3,4:10
UFC on FOX: Dos Anjos vs. Cowboy 2,"December 19, 2015",Nik Lentz,Danny Castillo,win,S-DEC,3,5:00
UFC on FOX: Dos Anjos vs. Cowboy 2,"December 19, 2015",Cole Miller,Jim Alers,"nc


nc",CNC,2,1:34
UFC on FOX: Dos Anjos vs. Cowboy 2,"December 19, 2015",Kamaru Usman,Leon Edwards,win,U-DEC,3,5:00
UFC on FOX: Dos Anjos vs. Cowboy 2,"December 19, 2015",Vicente Luque,Hayder Hassan,win,"SUB

      

        Anaconda Choke",1,2:13
UFC on FOX: Dos Anjos vs. Cowboy 2,"December 19, 2015",Francis Ngannou,Luis Henrique,win,"KO/TKO

      

        Punch",2,2:53
UFC 194: Aldo vs McGregor,"December 12, 2015",Conor McGregor,Jose Aldo,win,"KO/TKO

      

        Punch",1,0:13
UFC 194: Aldo vs McGregor,"December 12, 2015",Luke Rockhold,Chris Weidman,win,"KO/TKO

      

        Punches",4,3:12
UFC 194: Aldo vs McGregor,"December 12, 2015",Yoel Romero,Jacare Souza,win,S-DEC,3,5:00
UFC 194: Aldo vs McGregor,"December 12, 2015",Demian Maia,Gunnar Nelson,win,U-DEC,3,5:00
UFC 194: Aldo vs McGregor,"December 12, 2015",Max Holloway,Jeremy Stephens,win,U-DEC,3,5:00
UFC 194: Aldo vs McGregor,"December 12, 2015",Urijah Faber,Frankie Saenz,win,U-DEC,3,5:00
UFC 194: Aldo vs McGregor,"December 12, 2015",Tecia Pennington,Jocelyn Jones-Lybarger,win,U-DEC,3,5:00
UFC 194: Aldo vs McGregor,"December 12, 2015",Warlley Alves,Colby Covington,win,"SUB

      

        Guillotine Choke",1,1:26
UFC 194: Aldo vs McGregor,"December 12, 2015",Leonardo Santos,Kevin Lee,win,"KO/TKO

      

        Punches",1,3:26
UFC 194: Aldo vs McGregor,"December 12, 2015",Magomed Mustafaev,Joe Proctor,win,"KO/TKO

      

        Knee",1,1:54
UFC 194: Aldo vs McGregor,"December 12, 2015",Yancy Medeiros,John Makdessi,win,S-DEC,3,5:00
UFC 194: Aldo vs McGregor,"December 12, 2015",Court McGee,Marcio Alexandre Junior,win,U-DEC,3,5:00
The Ultimate Fighter: Team McGregor vs. Team Faber Finale,"December 11, 2015",Frankie Edgar,Chad Mendes,win,"KO/TKO

      

        Punch",1,2:28
The Ultimate Fighter: Team McGregor vs. Team Faber Finale,"December 11, 2015",Ryan Hall,Artem Lobov,win,U-DEC,3,5:00
The Ultimate Fighter: Team McGregor vs. Team Faber Finale,"December 11, 2015",Tony Ferguson,Edson Barboza,win,"SUB

      

        D'Arce Choke",2,2:54
The Ultimate Fighter: Team McGregor vs. Team Faber Finale,"December 11, 2015",Evan Dunham,Joe Lauzon,win,U-DEC,3,5:00
The Ultimate Fighter: Team McGregor vs. Team Faber Finale,"December 11, 2015",Tatsuya Kawajiri,Jason Knight,win,U-DEC,3,5:00
The Ultimate Fighter: Team McGregor vs. Team Faber Finale,"December 11, 2015",Julian Erosa,Marcin Wrzosek,win,S-DEC,3,5:00
The Ultimate Fighter: Team McGregor vs. Team Faber Finale,"December 11, 2015",Gabriel Gonzaga,Konstantin Erokhin,win,U-DEC,3,5:00
The Ultimate Fighter: Team McGregor vs. Team Faber Finale,"December 11, 2015",Ryan LaFlare,Mike Pierce,win,U-DEC,3,5:00
The Ultimate Fighter: Team McGregor vs. Team Faber Finale,"December 11, 2015",Geane Herrera,Joby Sanchez,win,"KO/TKO

      

        Punch",2,4:28
The Ultimate Fighter: Team McGregor vs. Team Faber Finale,"December 11, 2015",Chris Gruetzemacher,Abner Lloveras,win,U-DEC,3,5:00
UFC Fight Night: Namajunas vs. VanZant,"December 10, 2015",Rose Namajunas,Paige VanZant,win,"SUB

      

        Rear Naked Choke",5,2:25
UFC Fight Night: Namajunas vs. VanZant,"December 10, 2015",Michael Chiesa,Jim Miller,win,"SUB

      

        Rear Naked Choke",2,2:57
UFC Fight Night: Namajunas vs. VanZant,"December 10, 2015",Sage Northcutt,Cody Pfister,win,"SUB

      

        Guillotine Choke",2,0:41
UFC Fight Night: Namajunas vs. VanZant,"December 10, 2015",Thiago Santos,Elias Theodorou,win,U-DEC,3,5:00
UFC Fight Night: Namajunas vs. VanZant,"December 10, 2015",Tim Means,John Howard,win,"KO/TKO

      

        Punch",2,0:21
UFC Fight Night: Namajunas vs. VanZant,"December 10, 2015",Sergio Moraes,Omari Akhmedov,win,"KO/TKO

      

        Punches",3,2:18
UFC Fight Night: Namajunas vs. VanZant,"December 10, 2015",Antonio Carlos Junior,Kevin Casey,"nc


nc",CNC,1,0:11
UFC Fight Night: Namajunas vs. VanZant,"December 10, 2015",Aljamain Sterling,Johnny Eduardo,win,"SUB

      

        Guillotine Choke",2,4:18
UFC Fight Night: Namajunas vs. VanZant,"December 10, 2015",Santiago Ponzinibbio,Andreas Stahl,win,"KO/TKO

      

        Punch",1,4:25
UFC Fight Night: Namajunas vs. VanZant,"December 10, 2015",Danny Roberts,Nathan Coy,win,"SUB

      

        Triangle Choke",1,2:46
UFC Fight Night: Namajunas vs. VanZant,"December 10, 2015",Zubaira Tukhugov,Phillipe Nover,win,S-DEC,3,5:00
UFC Fight Night: Namajunas vs. VanZant,"December 10, 2015",Kailin Curran,Emily Kagan,win,"SUB

      

        Rear Naked Choke",2,4:13
UFC Fight Night: Henderson vs Masvidal,"November 28, 2015",Benson Henderson,Jorge Masvidal,win,S-DEC,5,5:00
UFC Fight Night: Henderson vs Masvidal,"November 28, 2015",Dong Hyun Kim,Dominic Waters,win,"KO/TKO

      

        Punches",1,3:11
UFC Fight Night: Henderson vs Masvidal,"November 28, 2015",Alberto Mina,Yoshihiro Akiyama,win,S-DEC,3,5:00
UFC Fight Night: Henderson vs Masvidal,"November 28, 2015",Dooho Choi,Sam Sicilia,win,"KO/TKO

      

        Punch",1,1:33
UFC Fight Night: Henderson vs Masvidal,"November 28, 2015",Dongi Yang,Jake Collier,win,"KO/TKO

      

        Punches",2,1:50
UFC Fight Night: Henderson vs Masvidal,"November 28, 2015",Mike de la Torre,Yui Chul Nam,win,S-DEC,3,5:00
UFC Fight Night: Henderson vs Masvidal,"November 28, 2015",Tae Hyun Bang,Leo Kuntz,win,S-DEC,3,5:00
UFC Fight Night: Henderson vs Masvidal,"November 28, 2015",Seo Hee Ham,Cortney Casey,win,U-DEC,3,5:00
UFC Fight Night: Henderson vs Masvidal,"November 28, 2015",Fredy Serrano,Yao Zhikui,win,KO/TKO,1,0:44
UFC Fight Night: Henderson vs Masvidal,"November 28, 2015",Marco Beltran,Guangyou Ning,win,S-DEC,3,5:00
UFC Fight Night: Henderson vs Masvidal,"November 28, 2015",Dominique Steele,Dong Hyun Ma,win,"KO/TKO

      

        Slam",3,0:27
UFC Fight Night: Magny vs Gastelum,"November 21, 2015",Neil Magny,Kelvin Gastelum,win,S-DEC,5,5:00
UFC Fight Night: Magny vs Gastelum,"November 21, 2015",Ricardo Lamas,Diego Sanchez,win,U-DEC,3,5:00
UFC Fight Night: Magny vs Gastelum,"November 21, 2015",Henry Cejudo,Jussier Formiga,win,S-DEC,3,5:00
UFC Fight Night: Magny vs Gastelum,"November 21, 2015",Erick Montano,Enrique Marin,win,S-DEC,3,5:00
UFC Fight Night: Magny vs Gastelum,"November 21, 2015",Enrique Barzola,Horacio Gutierrez,win,U-DEC,3,5:00
UFC Fight Night: Magny vs Gastelum,"November 21, 2015",Leandro Silva,Efrain Escudero,win,U-DEC,3,5:00
UFC Fight Night: Magny vs Gastelum,"November 21, 2015",Erik Perez,Taylor Lapilus,win,U-DEC,3,5:00
UFC Fight Night: Magny vs Gastelum,"November 21, 2015",Bartosz Fabinski,Hector Urbina,win,U-DEC,3,5:00
UFC Fight Night: Magny vs Gastelum,"November 21, 2015",Alejandro Perez,Scott Jorgensen,win,KO/TKO,2,4:26
UFC Fight Night: Magny vs Gastelum,"November 21, 2015",Andre Fili,Gabriel Benitez,win,"KO/TKO

      

        Punches",1,3:13
UFC Fight Night: Magny vs Gastelum,"November 21, 2015",Alvaro Herrera Mendoza,Vernon Ramos Ho,win,"KO/TKO

      

        Punches",1,0:30
UFC Fight Night: Magny vs Gastelum,"November 21, 2015",Marco Polo Reyes,Cesar Arzamendia,win,"KO/TKO

      

        Punch",1,3:42
UFC Fight Night: Magny vs Gastelum,"November 21, 2015",Michel Prazeres,Valmir Lazaro,win,S-DEC,3,5:00
UFC 193: Rousey vs Holm,"November 14, 2015",Holly Holm,Ronda Rousey,win,"KO/TKO

      

        Kick",2,0:59
