event,date,fighter_1,fighter_2,weight,result,method,round,time
UFC Fight Night: Hendricks vs Thompson,"February 06, 2016",Derrick Lewis,Damian Grabowski,Heavyweight,win,"KO/TKO

      

        Punch",1,2:17
UFC Fight Night: Hendricks vs Thompson,"February 06, 2016",Justin Scoggins,Ray Borg,Flyweight,win,U-DEC,3,5:00
UFC Fight Night: Hendricks vs Thompson,"February 06, 2016",Diego Rivas,Noad Lahat,Featherweight,win,"KO/TKO

      

        Flying Knee",2,0:23
UFC Fight Night: Hendricks vs Thompson,"February 06, 2016",Mickey Gall,Mike Jackson,Welterweight,win,"SUB

      

        Rear Naked Choke",1,0:45
UFC Fight Night: Hendricks vs Thompson,"February 06, 2016",Alex White,Artem Lobov,Featherweight,win,U-DEC,3,5:00
UFC on FOX: Johnson vs. Bader,"January 30, 2016",Anthony Johnson,Ryan Bader,Light Heavyweight,win,"KO/TKO

      

        Punches",1,1:26
UFC on FOX: Johnson vs. Bader,"January 30, 2016",Ben Rothwell,Josh Barnett,Heavyweight,win,"SUB

      

        Guillotine Choke",2,3:48
UFC on FOX: Johnson vs. Bader,"January 30, 2016",Jimmie Rivera,Iuri Alcantara,Bantamweight,win,U-DEC,3,5:00
UFC on FOX: Johnson vs. Bader,"January 30, 2016",Bryan Barberena,Sage Northcutt,Welterweight,win,"SUB

      

        Arm Triangle",2,3:06
UFC on FOX: Johnson vs. Bader,"January 30, 2016",Tarec Saffiedine,Jake Ellenberger,Welterweight,win,U-DEC,3,5:00
UFC on FOX: Johnson vs. Bader,"January 30, 2016",Diego Ferreira,Olivier Aubin-Mercier,Lightweight,win,U-DEC,3,5:00
UFC on FOX: Johnson vs. Bader,"January 30, 2016",Rafael Natal,Kevin Casey,Middleweight,win,"KO/TKO

      

        Punches",3,3:37
UFC on FOX: Johnson vs. Bader,"January 30, 2016",Wilson Reis,Dustin Ortiz,Flyweight,win,U-DEC,3,5:00
UFC on FOX: Johnson vs. Bader,"January 30, 2016",Alexander Yakovlev,George Sullivan,Welterweight,win,"KO/TKO

      

        Punches",1,3:59
UFC on FOX: Johnson vs. Bader,"January 30, 2016",Alex Caceres,Masio Fullen,Featherweight,win,U-DEC,3,5:00
UFC on FOX: Johnson vs. Bader,"January 30, 2016",Randy Brown,Matt Dwyer,Welterweight,win,U-DEC,3,5:00
UFC on FOX: Johnson vs. Bader,"January 30, 2016",Damon Jackson,Levan Makashvili,Featherweight,"draw


draw",M-DEC,3,5:00
UFC on FOX: Johnson vs. Bader,"January 30, 2016",Anthony Rocco Martin,Felipe Olivieri,Lightweight,win,"SUB

      

        Rear Naked Choke",3,3:02
UFC Fight Night: Dillashaw vs Cruz,"January 17, 2016",Dominick Cruz,TJ Dillashaw,Bantamweight,win,S-DEC,5,5:00
UFC Fight Night: Dillashaw vs Cruz,"January 17, 2016",Eddie Alvarez,Anthony Pettis,Lightweight,win,S-DEC,3,5:00
UFC Fight Night: Dillashaw vs Cruz,"January 17, 2016",Travis Browne,Matt Mitrione,Heavyweight,win,"KO/TKO

      

        Punches",3,4:09
UFC Fight Night: Dillashaw vs Cruz,"January 17, 2016",Francisco Trinaldo,Ross Pearson,Lightweight,win,U-DEC,3,5:00
UFC Fight Night: Dillashaw vs Cruz,"January 17, 2016",Patrick Cote,Ben Saunders,Welterweight,win,"KO/TKO

      

        Punches",2,1:14
UFC Fight Night: Dillashaw vs Cruz,"January 17, 2016",Ed Herman,Tim Boetsch,Light Heavyweight,win,"KO/TKO

      

        Knee",2,1:39
UFC Fight Night: Dillashaw vs Cruz,"January 17, 2016",Chris Wade,Mehdi Baghdad,Lightweight,win,"SUB

      

        Rear Naked Choke",1,4:30
UFC Fight Night: Dillashaw vs Cruz,"January 17, 2016",Luke Sanders,Maximo Blanco,Featherweight,win,"SUB

      

        Rear Naked Choke",1,3:38
UFC Fight Night: Dillashaw vs Cruz,"January 17, 2016",Paul Felder,Daron Cruickshank,Lightweight,win,"SUB

      

        Rear Naked Choke",3,3:56
UFC Fight Night: Dillashaw vs Cruz,"January 17, 2016",Ilir Latifi,Sean O'Connell,Light Heavyweight,win,"KO/TKO

      

        Punch",1,0:30
UFC Fight Night: Dillashaw vs Cruz,"January 17, 2016",Charles Rosa,Kyle Bochniak,Featherweight,win,U-DEC,3,5:00
UFC Fight Night: Dillashaw vs Cruz,"January 17, 2016",Rob Font,Joey Gomez,Bantamweight,win,"KO/TKO

      

        Punches",2,4:13
UFC Fight Night: Dillashaw vs Cruz,"January 17, 2016",Francimar Barroso,Elvis Mutapcic,Light Heavyweight,win,U-DEC,3,5:00
UFC 195: Lawler vs Condit,"January 02, 2016",Robbie Lawler,Carlos Condit,Welterweight,win,S-DEC,5,5:00
UFC 195: Lawler vs Condit,"January 02, 2016",Stipe Miocic,Andrei Arlovski,Heavyweight,win,"KO/TKO

      

        Punch",1,0:54
UFC 195: Lawler vs Condit,"January 02, 2016",Albert Tumenov,Lorenz Larkin,Welterweight,win,S-DEC,3,5:00
UFC 195: Lawler vs Condit,"January 02, 2016",Brian Ortega,Diego Brandao,Featherweight,win,"SUB

      

        Triangle Choke",3,1:37
UFC 195: Lawler vs Condit,"January 02, 2016",Abel Trujillo,Tony Sims,Lightweight,win,"SUB

      

        Guillotine Choke",1,3:18
UFC 195: Lawler vs Condit,"January 02, 2016",Michael McDonald,Masanori Kanehara,Bantamweight,win,"SUB

      

        Rear Naked Choke",2,2:09
UFC 195: Lawler vs Condit,"January 02, 2016",Alex Morono,Kyle Noke,Welterweight,win,S-DEC,3,5:00
UFC 195: Lawler vs Condit,"January 02, 2016",Justine Kish,Nina Nunes,Women's Strawweight,win,U-DEC,3,5:00
UFC 195: Lawler vs Condit,"January 02, 2016",Drew Dober,Scott Holtzman,Lightweight,win,U-DEC,3,5:00
UFC 195: Lawler vs Condit,"January 02, 2016",Dustin Poirier,Joe Duffy,Lightweight,win,U-DEC,3,5:00
UFC 195: Lawler vs Condit,"January 02, 2016",Michinori Tanaka,Joe Soto,Bantamweight,win,S-DEC,3,5:00
UFC 195: Lawler vs Condit,"January 02, 2016",Sheldon Westcott,Edgar Garcia,Welterweight,win,"KO/TKO

      

        Punches",1,3:12
UFC on FOX: Dos Anjos vs. Cowboy 2,"December 19, 2015",Rafael Dos Anjos,Donald Cerrone,Lightweight,win,"KO/TKO

      

        Punches",1,1:06
UFC on FOX: Dos Anjos vs. Cowboy 2,"December 19, 2015",Alistair Overeem,Junior Dos Santos,Heavyweight,win,"KO/TKO

      

        Punches",2,4:43
UFC on FOX: Dos Anjos vs. Cowboy 2,"December 19, 2015",Nate Diaz,Michael Johnson,Lightweight,win,U-DEC,3,5:00
UFC on FOX: Dos Anjos vs. Cowboy 2,"December 19, 2015",Karolina Kowalkiewicz,Randa Markos,Women's Strawweight,win,U-DEC,3,5:00
UFC on FOX: Dos Anjos vs. Cowboy 2,"December 19, 2015",Charles Oliveira,Myles Jury,Featherweight,win,"SUB

      

        Guillotine Choke",1,3:05
UFC on FOX: Dos Anjos vs. Cowboy 2,"December 19, 2015",Nate Marquardt,CB Dollaway,Middleweight,win,"KO/TKO

      

        Punch",2,0:28
UFC on FOX: Dos Anjos vs. Cowboy 2,"December 19, 2015",Valentina Shevchenko,Sarah Kaufman,Women's Bantamweight,win,S-DEC,3,5:00
UFC on FOX: Dos Anjos vs. Cowboy 2,"December 19, 2015",Tamdan McCrory,Josh Samman,Middleweight,win,"SUB

      

        Triangle Choke",3,4:10
UFC on FOX: Dos Anjos vs. Cowboy 2,"December 19, 2015",Nik Lentz,Danny Castillo,Lightweight,win,S-DEC,3,5:00
UFC on FOX: Dos Anjos vs. Cowboy 2,"December 19, 2015",Cole Miller,Jim Alers,Featherweight,"nc


nc",CNC,2,1:34
UFC on FOX: Dos Anjos vs. Cowboy 2,"December 19, 2015",Kamaru Usman,Leon Edwards,Welterweight,win,U-DEC,3,5:00
UFC on FOX: Dos Anjos vs. Cowboy 2,"December 19, 2015",Vicente Luque,Hayder Hassan,Welterweight,win,"SUB

      

        Anaconda Choke",1,2:13
UFC on FOX: Dos Anjos vs. Cowboy 2,"December 19, 2015",Francis Ngannou,Luis Henrique,Heavyweight,win,"KO/TKO

      

        Punch",2,2:53
UFC 194: Aldo vs McGregor,"December 12, 2015",Conor McGregor,Jose Aldo,Featherweight,win,"KO/TKO

      

        Punch",1,0:13
UFC 194: Aldo vs McGregor,"December 12, 2015",Luke Rockhold,Chris Weidman,Middleweight,win,"KO/TKO

      

        Punches",4,3:12
UFC 194: Aldo vs McGregor,"December 12, 2015",Yoel Romero,Jacare Souza,Middleweight,win,S-DEC,3,5:00
UFC 194: Aldo vs McGregor,"December 12, 2015",Demian Maia,Gunnar Nelson,Welterweight,win,U-DEC,3,5:00
UFC 194: Aldo vs McGregor,"December 12, 2015",Max Holloway,Jeremy Stephens,Featherweight,win,U-DEC,3,5:00
UFC 194: Aldo vs McGregor,"December 12, 2015",Urijah Faber,Frankie Saenz,Bantamweight,win,U-DEC,3,5:00
UFC 194: Aldo vs McGregor,"December 12, 2015",Tecia Pennington,Jocelyn Jones-Lybarger,Women's Strawweight,win,U-DEC,3,5:00
UFC 194: Aldo vs McGregor,"December 12, 2015",Warlley Alves,Colby Covington,Welterweight,win,"SUB

      

        Guillotine Choke",1,1:26
UFC 194: Aldo vs McGregor,"December 12, 2015",Leonardo Santos,Kevin Lee,Lightweight,win,"KO/TKO

      

        Punches",1,3:26
UFC 194: Aldo vs McGregor,"December 12, 2015",Magomed Mustafaev,Joe Proctor,Lightweight,win,"KO/TKO

      

        Knee",1,1:54
UFC 194: Aldo vs McGregor,"December 12, 2015",Yancy Medeiros,John Makdessi,Lightweight,win,S-DEC,3,5:00
UFC 194: Aldo vs McGregor,"December 12, 2015",Court McGee,Marcio Alexandre Junior,Welterweight,win,U-DEC,3,5:00
The Ultimate Fighter: Team McGregor vs. Team Faber Finale,"December 11, 2015",Frankie Edgar,Chad Mendes,Featherweight,win,"KO/TKO

      

        Punch",1,2:28
The Ultimate Fighter: Team McGregor vs. Team Faber Finale,"December 11, 2015",Ryan Hall,Artem Lobov,Lightweight,win,U-DEC,3,5:00
The Ultimate Fighter: Team McGregor vs. Team Faber Finale,"December 11, 2015",Tony Ferguson,Edson Barboza,Lightweight,win,"SUB

      

        D'Arce Choke",2,2:54
The Ultimate Fighter: Team McGregor vs. Team Faber Finale,"December 11, 2015",Evan Dunham,Joe Lauzon,Lightweight,win,U-DEC,3,5:00
The Ultimate Fighter: Team McGregor vs. Team Faber Finale,"December 11, 2015",Tatsuya Kawajiri,Jason Knight,Featherweight,win,U-DEC,3,5:00
The Ultimate Fighter: Team McGregor vs. Team Faber Finale,"December 11, 2015",Julian Erosa,Marcin Wrzosek,Lightweight,win,S-DEC,3,5:00
The Ultimate Fighter: Team McGregor vs. Team Faber Finale,"December 11, 2015",Gabriel Gonzaga,Konstantin Erokhin,Heavyweight,win,U-DEC,3,5:00
The Ultimate Fighter: Team McGregor vs. Team Faber Finale,"December 11, 2015",Ryan LaFlare,Mike Pierce,Welterweight,win,U-DEC,3,5:00
The Ultimate Fighter: Team McGregor vs. Team Faber Finale,"December 11, 2015",Geane Herrera,Joby Sanchez,Flyweight,win,"KO/TKO

      

        Punch",2,4:28
The Ultimate Fighter: Team McGregor vs. Team Faber Finale,"December 11, 2015",Chris Gruetzemacher,Abner Lloveras,Lightweight,win,U-DEC,3,5:00
UFC Fight Night: Namajunas vs. VanZant,"December 10, 2015",Rose Namajunas,Paige VanZant,Women's Strawweight,win,"SUB

      

        Rear Naked Choke",5,2:25
UFC Fight Night: Namajunas vs. VanZant,"December 10, 2015",Michael Chiesa,Jim Miller,Lightweight,win,"SUB

      

        Rear Naked Choke",2,2:57
UFC Fight Night: Namajunas vs. VanZant,"December 10, 2015",Sage Northcutt,Cody Pfister,Lightweight,win,"SUB

      

        Guillotine Choke",2,0:41
UFC Fight Night: Namajunas vs. VanZant,"December 10, 2015",Thiago Santos,Elias Theodorou,Middleweight,win,U-DEC,3,5:00
UFC Fight Night: Namajunas vs. VanZant,"December 10, 2015",Tim Means,John Howard,Welterweight,win,"KO/TKO

      

        Punch",2,0:21
UFC Fight Night: Namajunas vs. VanZant,"December 10, 2015",Sergio Moraes,Omari Akhmedov,Welterweight,win,"KO/TKO

      

        Punches",3,2:18
UFC Fight Night: Namajunas vs. VanZant,"December 10, 2015",Antonio Carlos Junior,Kevin Casey,Middleweight,"nc


nc",CNC,1,0:11
UFC Fight Night: Namajunas vs. VanZant,"December 10, 2015",Aljamain Sterling,Johnny Eduardo,Bantamweight,win,"SUB

      

        Guillotine Choke",2,4:18
UFC Fight Night: Namajunas vs. VanZant,"December 10, 2015",Santiago Ponzinibbio,Andreas Stahl,Welterweight,win,"KO/TKO

      

        Punch",1,4:25
UFC Fight Night: Namajunas vs. VanZant,"December 10, 2015",Danny Roberts,Nathan Coy,Welterweight,win,"SUB

      

        Triangle Choke",1,2:46
UFC Fight Night: Namajunas vs. VanZant,"December 10, 2015",Zubaira Tukhugov,Phillipe Nover,Featherweight,win,S-DEC,3,5:00
UFC Fight Night: Namajunas vs. VanZant,"December 10, 2015",Kailin Curran,Emily Kagan,Women's Strawweight,win,"SUB

      

        Rear Naked Choke",2,4:13
UFC Fight Night: Henderson vs Masvidal,"November 28, 2015",Benson Henderson,Jorge Masvidal,Welterweight,win,S-DEC,5,5:00
UFC Fight Night: Henderson vs Masvidal,"November 28, 2015",Dong Hyun Kim,Dominic Waters,Welterweight,win,"KO/TKO

      

        Punches",1,3:11
UFC Fight Night: Henderson vs Masvidal,"November 28, 2015",Alberto Mina,Yoshihiro Akiyama,Welterweight,win,S-DEC,3,5:00
UFC Fight Night: Henderson vs Masvidal,"November 28, 2015",Dooho Choi,Sam Sicilia,Featherweight,win,"KO/TKO

      

        Punch",1,1:33
UFC Fight Night: Henderson vs Masvidal,"November 28, 2015",Dongi Yang,Jake Collier,Middleweight,win,"KO/TKO

      

        Punches",2,1:50
UFC Fight Night: Henderson vs Masvidal,"November 28, 2015",Mike de la Torre,Yui Chul Nam,Featherweight,win,S-DEC,3,5:00
UFC Fight Night: Henderson vs Masvidal,"November 28, 2015",Tae Hyun Bang,Leo Kuntz,Lightweight,win,S-DEC,3,5:00
UFC Fight Night: Henderson vs Masvidal,"November 28, 2015",Seo Hee Ham,Cortney Casey,Women's Strawweight,win,U-DEC,3,5:00
UFC Fight Night: Henderson vs Masvidal,"November 28, 2015",Fredy Serrano,Yao Zhikui,Flyweight,win,KO/TKO,1,0:44
UFC Fight Night: Henderson vs Masvidal,"November 28, 2015",Marco Beltran,Guangyou Ning,Bantamweight,win,S-DEC,3,5:00
UFC Fight Night: Henderson vs Masvidal,"November 28, 2015",Dominique Steele,Dong Hyun Ma,Welterweight,win,"KO/TKO

      

        Slam",3,0:27
UFC Fight Night: Magny vs Gastelum,"November 21, 2015",Neil Magny,Kelvin Gastelum,Welterweight,win,S-DEC,5,5:00
UFC Fight Night: Magny vs Gastelum,"November 21, 2015",Ricardo Lamas,Diego Sanchez,Featherweight,win,U-DEC,3,5:00
UFC Fight Night: Magny vs Gastelum,"November 21, 2015",Henry Cejudo,Jussier Formiga,Flyweight,win,S-DEC,3,5:00
UFC Fight Night: Magny vs Gastelum,"November 21, 2015",Erick Montano,Enrique Marin,Welterweight,win,S-DEC,3,5:00
UFC Fight Night: Magny vs Gastelum,"November 21, 2015",Enrique Barzola,Horacio Gutierrez,Lightweight,win,U-DEC,3,5:00
UFC Fight Night: Magny vs Gastelum,"November 21, 2015",Leandro Silva,Efrain Escudero,Lightweight,win,U-DEC,3,5:00
UFC Fight Night: Magny vs Gastelum,"November 21, 2015",Erik Perez,Taylor Lapilus,Bantamweight,win,U-DEC,3,5:00
UFC Fight Night: Magny vs Gastelum,"November 21, 2015",Bartosz Fabinski,Hector Urbina,Welterweight,win,U-DEC,3,5:00
UFC Fight Night: Magny vs Gastelum,"November 21, 2015",Alejandro Perez,Scott Jorgensen,Bantamweight,win,KO/TKO,2,4:26
UFC Fight Night: Magny vs Gastelum,"November 21, 2015",Andre Fili,Gabriel Benitez,Featherweight,win,"KO/TKO

      

        Punches",1,3:13
UFC Fight Night: Magny vs Gastelum,"November 21, 2015",Alvaro Herrera Mendoza,Vernon Ramos Ho,Welterweight,win,"KO/TKO

      

        Punches",1,0:30
UFC Fight Night: Magny vs Gastelum,"November 21, 2015",Marco Polo Reyes,Cesar Arzamendia,Lightweight,win,"KO/TKO

      

        Punch",1,3:42
UFC Fight Night: Magny vs Gastelum,"November 21, 2015",Michel Prazeres,Valmir Lazaro,Lightweight,win,S-DEC,3,5:00
UFC 193: Rousey vs Holm,"November 14, 2015",Holly Holm,Ronda Rousey,Women's Bantamweight,win,"KO/TKO

      

        Kick",2,0:59
UFC 193: Rousey vs Holm,"November 14, 2015",Joanna Jedrzejczyk,Valerie Letourneau,Women's Strawweight,win,U-DEC,5,5:00
UFC 193: Rousey vs Holm,"November 14, 2015",Mark Hunt,Antonio Silva,Heavyweight,win,"KO/TKO

      

        Punch",1,3:41
UFC 193: Rousey vs Holm,"November 14, 2015",Robert Whittaker,Uriah Hall,Middleweight,win,U-DEC,3,5:00
UFC 193: Rousey vs Holm,"November 14, 2015",Jared Rosholt,Stefan Struve,Heavyweight,win,U-DEC,3,5:00
UFC 193: Rousey vs Holm,"November 14, 2015",Jake Matthews,Akbarh Arreola,Lightweight,win,KO/TKO,2,5:00
UFC 193: Rousey vs Holm,"November 14, 2015",Kyle Noke,Peter Sobotta,Welterweight,win,"KO/TKO

      

        Kick",1,2:01
UFC 193: Rousey vs Holm,"November 14, 2015",Gian Villante,Anthony Perosh,Light Heavyweight,win,"KO/TKO

      

        Punch",1,2:56
UFC 193: Rousey vs Holm,"November 14, 2015",Danny Martinez,Richie Vaculik,Flyweight,win,U-DEC,3,5:00
UFC 193: Rousey vs Holm,"November 14, 2015",Daniel Kelly,Steve Montgomery,Middleweight,win,U-DEC,3,5:00
UFC 193: Rousey vs Holm,"November 14, 2015",Richard Walsh,Steve Kennedy,Welterweight,win,U-DEC,3,5:00
UFC 193: Rousey vs Holm,"November 14, 2015",James Moontasri,Anton Zafir,Welterweight,win,"KO/TKO

      

        Spinning Back Kick",1,4:36
UFC 193: Rousey vs Holm,"November 14, 2015",Ben Nguyen,Ryan Benoit,Flyweight,win,"SUB

      

        Rear Naked Choke",1,2:35
UFC Fight Night: Belfort vs Henderson 3,"November 07, 2015",Vitor Belfort,Dan Henderson,Middleweight,win,"KO/TKO

      

        Kick",1,2:07
UFC Fight Night: Belfort vs Henderson 3,"November 07, 2015",Glover Teixeira,Patrick Cummins,Light Heavyweight,win,"KO/TKO

      

        Punches",2,1:12
UFC Fight Night: Belfort vs Henderson 3,"November 07, 2015",Thomas Almeida,Anthony Birchak,Bantamweight,win,"KO/TKO

      

        Punches",1,4:24
UFC Fight Night: Belfort vs Henderson 3,"November 07, 2015",Alex Oliveira,Piotr Hallmann,Lightweight,win,"KO/TKO

      

        Punch",3,0:51
UFC Fight Night: Belfort vs Henderson 3,"November 07, 2015",Rashid Magomedov,Gilbert Burns,Lightweight,win,U-DEC,3,5:00
UFC Fight Night: Belfort vs Henderson 3,"November 07, 2015",Corey Anderson,Fabio Maldonado,Light Heavyweight,win,U-DEC,3,5:00
UFC Fight Night: Belfort vs Henderson 3,"November 07, 2015",Abel Trujillo,Gleison Tibau,Lightweight,win,"DQ

      

        Rear Naked Choke",1,1:45
UFC Fight Night: Belfort vs Henderson 3,"November 07, 2015",Johnny Case,Yan Cabral,Lightweight,win,U-DEC,3,5:00
UFC Fight Night: Belfort vs Henderson 3,"November 07, 2015",Thiago Tavares,Clay Guida,Featherweight,win,"SUB

      

        Guillotine Choke",1,0:39
UFC Fight Night: Belfort vs Henderson 3,"November 07, 2015",Chas Skelly,Edimilson Souza,Featherweight,win,"SUB

      

        Rear Naked Choke",2,1:56
UFC Fight Night: Belfort vs Henderson 3,"November 07, 2015",Viscardi Andrade,Gasan Umalatov,Welterweight,win,U-DEC,3,5:00
UFC Fight Night: Belfort vs Henderson 3,"November 07, 2015",Jimmie Rivera,Pedro Munhoz,Bantamweight,win,S-DEC,3,5:00
UFC Fight Night: Belfort vs Henderson 3,"November 07, 2015",Matheus Nicolau,Bruno Korea,Bantamweight,win,"SUB

      

        Guillotine Choke",3,3:27
UFC Fight Night: Holohan vs Smolka,"October 24, 2015",Louis Smolka,Paddy Holohan,Flyweight,win,"SUB

      

        Rear Naked Choke",2,4:09
UFC Fight Night: Holohan vs Smolka,"October 24, 2015",Norman Parke,Reza Madadi,Lightweight,win,U-DEC,3,5:00
UFC Fight Night: Holohan vs Smolka,"October 24, 2015",Nicolas Dalby,Darren Till,Welterweight,"draw


draw",M-DEC,3,5:00
UFC Fight Night: Holohan vs Smolka,"October 24, 2015",Neil Seery,Jon Delos Reyes,Flyweight,win,"SUB

      

        Guillotine Choke",2,4:12
UFC Fight Night: Holohan vs Smolka,"October 24, 2015",Stevie Ray,Mickael Lebout,Lightweight,win,U-DEC,3,5:00
UFC Fight Night: Holohan vs Smolka,"October 24, 2015",Aisling Daly,Ericka Almeida,Women's Strawweight,win,U-DEC,3,5:00
UFC Fight Night: Holohan vs Smolka,"October 24, 2015",Krzysztof Jotko,Scott Askham,Middleweight,win,S-DEC,3,5:00
UFC Fight Night: Holohan vs Smolka,"October 24, 2015",Tom Breese,Cathal Pendred,Welterweight,win,"KO/TKO

      

        Punches",1,4:37
UFC Fight Night: Holohan vs Smolka,"October 24, 2015",Darren Elkins,Robert Whiteford,Featherweight,win,U-DEC,3,5:00
UFC Fight Night: Holohan vs Smolka,"October 24, 2015",Garreth McLellan,Bubba Bush,Middleweight,win,"KO/TKO

      

        Punches",3,4:58
UFC 192: Cormier vs Gustafsson,"October 03, 2015",Daniel Cormier,Alexander Gustafsson,Light Heavyweight,win,S-DEC,5,5:00
UFC 192: Cormier vs Gustafsson,"October 03, 2015",Ryan Bader,Rashad Evans,Light Heavyweight,win,U-DEC,3,5:00
UFC 192: Cormier vs Gustafsson,"October 03, 2015",Ruslan Magomedov,Shawn Jordan,Heavyweight,win,U-DEC,3,5:00
UFC 192: Cormier vs Gustafsson,"October 03, 2015",Joseph Benavidez,Ali Bagautinov,Flyweight,win,U-DEC,3,5:00
UFC 192: Cormier vs Gustafsson,"October 03, 2015",Julianna Pena,Jessica Eye,Women's Bantamweight,win,U-DEC,3,5:00
UFC 192: Cormier vs Gustafsson,"October 03, 2015",Yair Rodriguez,Dan Hooker,Featherweight,win,U-DEC,3,5:00
UFC 192: Cormier vs Gustafsson,"October 03, 2015",Albert Tumenov,Alan Jouban,Welterweight,win,"KO/TKO

      

        Punches",1,2:55
UFC 192: Cormier vs Gustafsson,"October 03, 2015",Adriano Martins,Islam Makhachev,Lightweight,win,"KO/TKO

      

        Punch",1,1:46
UFC 192: Cormier vs Gustafsson,"October 03, 2015",Rose Namajunas,Angela Hill,Women's Strawweight,win,"SUB

      

        Rear Naked Choke",1,2:47
UFC 192: Cormier vs Gustafsson,"October 03, 2015",Sage Northcutt,Francisco Trevino,Lightweight,win,"KO/TKO

      

        Punches",1,0:57
UFC 192: Cormier vs Gustafsson,"October 03, 2015",Sergio Pettis,Chris Cariaso,Flyweight,win,U-DEC,3,5:00
UFC 192: Cormier vs Gustafsson,"October 03, 2015",Derrick Lewis,Viktor Pesta,Heavyweight,win,"KO/TKO

      

        Punches",3,1:15
UFC Fight Night: Barnett vs Nelson,"September 26, 2015",Josh Barnett,Roy Nelson,Heavyweight,win,U-DEC,5,5:00
UFC Fight Night: Barnett vs Nelson,"September 26, 2015",Uriah Hall,Gegard Mousasi,Middleweight,win,"KO/TKO

      

        Spinning Back Kick",2,0:25
UFC Fight Night: Barnett vs Nelson,"September 26, 2015",Kyoji Horiguchi,Chico Camus,Flyweight,win,U-DEC,3,5:00
UFC Fight Night: Barnett vs Nelson,"September 26, 2015",Takeya Mizugaki,George Roop,Bantamweight,win,U-DEC,3,5:00
UFC Fight Night: Barnett vs Nelson,"September 26, 2015",Diego Brandao,Katsunori Kikuno,Featherweight,win,"KO/TKO

      

        Punch",1,0:28
UFC Fight Night: Barnett vs Nelson,"September 26, 2015",Mizuto Hirota,Teruto Ishihara,Featherweight,"draw


draw",S-DEC,3,5:00
UFC Fight Night: Barnett vs Nelson,"September 26, 2015",Keita Nakamura,Li Jingliang,Welterweight,win,"SUB

      

        Rear Naked Choke",3,2:17
UFC Fight Night: Barnett vs Nelson,"September 26, 2015",Nick Hein,Yusuke Kasuya,Lightweight,win,U-DEC,3,5:00
UFC Fight Night: Barnett vs Nelson,"September 26, 2015",Kajan Johnson,Naoyuki Kotani,Lightweight,win,U-DEC,3,5:00
UFC Fight Night: Barnett vs Nelson,"September 26, 2015",Shinsho Anzai,Roger Zapata,Welterweight,win,KO/TKO,3,0:47
UFC 191: Johnson vs Dodson 2,"September 05, 2015",Demetrious Johnson,John Dodson,Flyweight,win,U-DEC,5,5:00
UFC 191: Johnson vs Dodson 2,"September 05, 2015",Andrei Arlovski,Frank Mir,Heavyweight,win,U-DEC,3,5:00
UFC 191: Johnson vs Dodson 2,"September 05, 2015",Anthony Johnson,Jimi Manuwa,Light Heavyweight,win,"KO/TKO

      

        Punch",2,0:28
UFC 191: Johnson vs Dodson 2,"September 05, 2015",Corey Anderson,Jan Blachowicz,Light Heavyweight,win,U-DEC,3,5:00
UFC 191: Johnson vs Dodson 2,"September 05, 2015",Paige VanZant,Alex Chambers,Women's Strawweight,win,"SUB

      

        Armbar",3,1:01
UFC 191: Johnson vs Dodson 2,"September 05, 2015",Ross Pearson,Paul Felder,Lightweight,win,S-DEC,3,5:00
UFC 191: Johnson vs Dodson 2,"September 05, 2015",John Lineker,Francisco Rivera,Bantamweight,win,"SUB

      

        Guillotine Choke",1,2:08
UFC 191: Johnson vs Dodson 2,"September 05, 2015",Raquel Pennington,Jessica Andrade,Women's Bantamweight,win,"SUB

      

        Rear Naked Choke",2,4:58
UFC 191: Johnson vs Dodson 2,"September 05, 2015",Tiago dos Santos e Silva,Clay Collard,Featherweight,win,S-DEC,3,5:00
UFC 191: Johnson vs Dodson 2,"September 05, 2015",Joe Riggs,Ron Stallings,Middleweight,win,DQ,2,2:28
UFC 191: Johnson vs Dodson 2,"September 05, 2015",Joaquim Silva,Nazareno Malegarie,Lightweight,win,S-DEC,3,5:00
UFC Fight Night: Holloway vs Oliveira,"August 23, 2015",Max Holloway,Charles Oliveira,Featherweight,win,KO/TKO,1,1:39
UFC Fight Night: Holloway vs Oliveira,"August 23, 2015",Neil Magny,Erick Silva,Welterweight,win,S-DEC,3,5:00
UFC Fight Night: Holloway vs Oliveira,"August 23, 2015",Patrick Cote,Joshua Burkman,Welterweight,win,"KO/TKO

      

        Punches",3,1:26
UFC Fight Night: Holloway vs Oliveira,"August 23, 2015",Francisco Trinaldo,Chad Laprise,Lightweight,win,"KO/TKO

      

        Punches",1,2:43
UFC Fight Night: Holloway vs Oliveira,"August 23, 2015",Olivier Aubin-Mercier,Tony Sims,Lightweight,win,U-DEC,3,5:00
UFC Fight Night: Holloway vs Oliveira,"August 23, 2015",Valerie Letourneau,Maryna Moroz,Women's Strawweight,win,U-DEC,3,5:00
UFC Fight Night: Holloway vs Oliveira,"August 23, 2015",Frankie Perez,Sam Stout,Lightweight,win,"KO/TKO

      

        Punches",1,0:54
UFC Fight Night: Holloway vs Oliveira,"August 23, 2015",Felipe Arantes,Yves Jabouin,Bantamweight,win,"SUB

      

        Armbar",1,4:21
UFC Fight Night: Holloway vs Oliveira,"August 23, 2015",Nikita Krylov,Marcos Rogerio de Lima,Light Heavyweight,win,"SUB

      

        Rear Naked Choke",1,2:29
