event,fighter_1,fighter_2,weight,result,method,round,time
UFC Fight Night: Fiziev vs. Gamrot,Charles Jourdain,Ricardo Ramos,Featherweight,win,"SUB

      

        Guillotine Choke",1,3:12
UFC Fight Night: Fiziev vs. Gamrot,Dan Argueta,Miles Johns,Bantamweight,"nc


nc",Overturned,3,5:00
UFC Fight Night: Fiziev vs. Gamrot,Tim Means,Andre Fialho,Welterweight,win,"KO/TKO

      

        Punches",3,1:15
UFC Fight Night: Fiziev vs. Gamrot,Cody Brundage,Jacob Malkoun,Middleweight,win,DQ,1,4:15
UFC Fight Night: Fiziev vs. Gamrot,Mohammed Usman,Jake Collier,Heavyweight,win,U-DEC,3,5:00
UFC Fight Night: Fiziev vs. Gamrot,Mizuki,Hannah Goldy,Women's Strawweight,win,U-DEC,3,5:00
UFC Fight Night: Fiziev vs. Gamrot,Montserrat Rendon,Tamires Vidal,Women's Bantamweight,win,S-DEC,3,5:00
UFC Fight Night: Grasso vs. Shevchenko 2,Alexa Grasso,Valentina Shevchenko,Women's Flyweight,"draw


draw",S-DEC,5,5:00
UFC Fight Night: Grasso vs. Shevchenko 2,Jack Della Maddalena,Kevin Holland,Welterweight,win,S-DEC,3,5:00
UFC Fight Night: Grasso vs. Shevchenko 2,Raul Rosas Jr.,Terrence Mitchell,Bantamweight,win,"KO/TKO

      

        Punches",1,0:54
UFC Fight Night: Grasso vs. Shevchenko 2,Daniel Zellhuber,Christos Giagos,Lightweight,win,"SUB

      

        Anaconda Choke",2,3:26
UFC Fight Night: Grasso vs. Shevchenko 2,Kyle Nelson,Fernando Padilla,Featherweight,win,U-DEC,3,5:00
UFC Fight Night: Grasso vs. Shevchenko 2,Loopy Godinez,Elise Reed,Women's Strawweight,win,"SUB

      

        Rear Naked Choke",2,3:38
UFC Fight Night: Grasso vs. Shevchenko 2,Roman Kopylov,Josh Fremd,Middleweight,win,"KO/TKO

      

        Punch",2,4:44
UFC Fight Night: Grasso vs. Shevchenko 2,Edgar Chairez,Daniel Lacerda,Flyweight,"nc


nc",Overturned,1,3:47
UFC Fight Night: Grasso vs. Shevchenko 2,Tracy Cortez,Jasmine Jasudavicius,Women's Flyweight,win,U-DEC,3,5:00
UFC Fight Night: Grasso vs. Shevchenko 2,Charlie Campbell,Alex Reyes,Lightweight,win,"KO/TKO

      

        Punches",1,3:38
UFC Fight Night: Grasso vs. Shevchenko 2,Josefine Knutsson,Marnic Mann,Women's Strawweight,win,U-DEC,3,5:00
UFC 293: Adesanya vs. Strickland,Sean Strickland,Israel Adesanya,Middleweight,win,U-DEC,5,5:00
UFC 293: Adesanya vs. Strickland,Alexander Volkov,Tai Tuivasa,Heavyweight,win,"SUB

      

        Ezekiel Choke",2,4:37
UFC 293: Adesanya vs. Strickland,Manel Kape,Felipe dos Santos,Flyweight,win,U-DEC,3,5:00
UFC 293: Adesanya vs. Strickland,Justin Tafa,Austen Lane,Heavyweight,win,"KO/TKO

      

        Punch",1,1:22
UFC 293: Adesanya vs. Strickland,Tyson Pedro,Anton Turkalj,Light Heavyweight,win,"KO/TKO

      

        Punch",1,2:12
UFC 293: Adesanya vs. Strickland,Carlos Ulberg,Da Woon Jung,Light Heavyweight,win,"SUB

      

        Rear Naked Choke",3,4:49
UFC 293: Adesanya vs. Strickland,Chepe Mariscal,Jack Jenkins,Featherweight,win,KO/TKO,2,3:19
UFC 293: Adesanya vs. Strickland,Jamie Mullarkey,John Makdessi,Lightweight,win,U-DEC,3,5:00
UFC 293: Adesanya vs. Strickland,Nasrat Haqparast,Landon Quinones,Lightweight,win,U-DEC,3,5:00
UFC 293: Adesanya vs. Strickland,Charles Radtke,Blood Diamond,Welterweight,win,U-DEC,3,5:00
UFC 293: Adesanya vs. Strickland,Gabriel Miranda,Shane Young,Featherweight,win,"SUB

      

        Rear Naked Choke",1,0:59
UFC 293: Adesanya vs. Strickland,Kevin Jousset,Kiefer Crosbie,Welterweight,win,"SUB

      

        Rear Naked Choke",1,4:49
UFC Fight Night: Gane vs. Spivac,Ciryl Gane,Serghei Spivac,Heavyweight,win,"KO/TKO

      

        Punches",2,3:44
UFC Fight Night: Gane vs. Spivac,Manon Fiorot,Rose Namajunas,Women's Flyweight,win,U-DEC,3,5:00
UFC Fight Night: Gane vs. Spivac,Benoit Saint Denis,Thiago Moises,Lightweight,win,"KO/TKO

      

        Punches",2,4:44
UFC Fight Night: Gane vs. Spivac,Volkan Oezdemir,Bogdan Guskov,Light Heavyweight,win,"SUB

      

        Rear Naked Choke",1,3:46
UFC Fight Night: Gane vs. Spivac,William Gomis,Yanis Ghemmouri,Featherweight,win,"KO/TKO

      

        Kick",3,2:20
UFC Fight Night: Gane vs. Spivac,Morgan Charriere,Manolo Zecchini,Featherweight,win,"KO/TKO

      

        Kicks",1,3:51
UFC Fight Night: Gane vs. Spivac,Taylor Lapilus,Caolan Loughran,Bantamweight,win,U-DEC,3,5:00
UFC Fight Night: Gane vs. Spivac,Ange Loosa,Rhys McKee,Welterweight,win,U-DEC,3,5:00
UFC Fight Night: Gane vs. Spivac,Nora Cornolle,Joselyne Edwards,Women's Bantamweight,win,U-DEC,3,5:00
UFC Fight Night: Gane vs. Spivac,Farid Basharat,Kleydson Rodrigues,Bantamweight,win,"SUB

      

        Arm Triangle",1,4:15
UFC Fight Night: Gane vs. Spivac,Jacqueline Cavalcanti,Zarah Fairn,Catch Weight,win,U-DEC,3,5:00
UFC Fight Night: Holloway vs. The Korean Zombie,Max Holloway,Chan Sung Jung,Featherweight,win,"KO/TKO

      

        Punch",3,0:23
UFC Fight Night: Holloway vs. The Korean Zombie,Anthony Smith,Ryan Spann,Light Heavyweight,win,S-DEC,3,5:00
UFC Fight Night: Holloway vs. The Korean Zombie,Giga Chikadze,Alex Caceres,Featherweight,win,U-DEC,3,5:00
UFC Fight Night: Holloway vs. The Korean Zombie,Rinya Nakamura,Fernie Garcia,Bantamweight,win,U-DEC,3,5:00
UFC Fight Night: Holloway vs. The Korean Zombie,Erin Blanchfield,Taila Santos,Women's Flyweight,win,U-DEC,3,5:00
UFC Fight Night: Holloway vs. The Korean Zombie,Junior Tafa,Parker Porter,Heavyweight,win,"KO/TKO

      

        Punch",1,1:24
UFC Fight Night: Holloway vs. The Korean Zombie,Waldo Cortes-Acosta,Lukasz Brzeski,Heavyweight,win,"KO/TKO

      

        Punches",1,3:01
UFC Fight Night: Holloway vs. The Korean Zombie,Garrett Armfield,Toshiomi Kazama,Bantamweight,win,"KO/TKO

      

        Punches",1,4:16
UFC Fight Night: Holloway vs. The Korean Zombie,Michal Oleksiejczuk,Chidi Njokuani,Middleweight,win,"KO/TKO

      

        Punches",1,4:16
UFC Fight Night: Holloway vs. The Korean Zombie,Song Kenan,Rolando Bedoya,Welterweight,win,U-DEC,3,5:00
UFC Fight Night: Holloway vs. The Korean Zombie,Billy Ray Goff,Yusaku Kinoshita,Welterweight,win,"KO/TKO

      

        Punch",1,3:49
UFC Fight Night: Holloway vs. The Korean Zombie,JJ Aldrich,Liang Na,Women's Flyweight,win,"KO/TKO

      

        Elbows",2,4:49
UFC Fight Night: Holloway vs. The Korean Zombie,SeungWoo Choi,Jarno Errens,Featherweight,win,U-DEC,3,5:00
UFC 292: Sterling vs. O'Malley,Sean O'Malley,Aljamain Sterling,Bantamweight,win,"KO/TKO

      

        Punches",2,0:51
UFC 292: Sterling vs. O'Malley,Zhang Weili,Amanda Lemos,Women's Strawweight,win,U-DEC,5,5:00
UFC 292: Sterling vs. O'Malley,Ian Machado Garry,Neil Magny,Welterweight,win,U-DEC,3,5:00
UFC 292: Sterling vs. O'Malley,Mario Bautista,Da'Mon Blackshear,Bantamweight,win,U-DEC,3,5:00
UFC 292: Sterling vs. O'Malley,Marlon Vera,Pedro Munhoz,Bantamweight,win,U-DEC,3,5:00
UFC 292: Sterling vs. O'Malley,Brad Tavares,Chris Weidman,Middleweight,win,U-DEC,3,5:00
UFC 292: Sterling vs. O'Malley,Gregory Rodrigues,Denis Tiuliulin,Middleweight,win,"KO/TKO

      

        Elbows",1,1:43
UFC 292: Sterling vs. O'Malley,Kurt Holobaugh,Austin Hubbard,Lightweight,win,"SUB

      

        Triangle Choke",2,2:39
UFC 292: Sterling vs. O'Malley,Brad Katona,Cody Gibson,Bantamweight,win,U-DEC,3,5:00
UFC 292: Sterling vs. O'Malley,Andre Petroski,Gerald Meerschaert,Middleweight,win,S-DEC,3,5:00
UFC 292: Sterling vs. O'Malley,Natalia Silva,Andrea Lee,Women's Flyweight,win,U-DEC,3,5:00
UFC 292: Sterling vs. O'Malley,Karine Silva,Maryna Moroz,Women's Flyweight,win,"SUB

      

        Guillotine Choke",1,4:59
UFC Fight Night: Luque vs. Dos Anjos,Vicente Luque,Rafael Dos Anjos,Welterweight,win,U-DEC,5,5:00
UFC Fight Night: Luque vs. Dos Anjos,Cub Swanson,Hakeem Dawodu,Featherweight,win,U-DEC,3,5:00
UFC Fight Night: Luque vs. Dos Anjos,Khalil Rountree Jr.,Chris Daukaus,Light Heavyweight,win,"KO/TKO

      

        Punch",1,2:40
UFC Fight Night: Luque vs. Dos Anjos,Iasmin Lucindo,Polyana Viana,Women's Strawweight,win,"SUB

      

        Arm Triangle",2,3:42
UFC Fight Night: Luque vs. Dos Anjos,AJ Dobson,Tafon Nchukwi,Middleweight,win,U-DEC,3,5:00
UFC Fight Night: Luque vs. Dos Anjos,Josh Fremd,Jamie Pickett,Middleweight,win,U-DEC,3,5:00
UFC Fight Night: Luque vs. Dos Anjos,Marcus McGhee,JP Buys,Bantamweight,win,"KO/TKO

      

        Punch",1,2:19
UFC Fight Night: Luque vs. Dos Anjos,Terrance McKinney,Mike Breeden,Lightweight,win,"KO/TKO

      

        Punches",1,1:25
UFC Fight Night: Luque vs. Dos Anjos,Isaac Dulgarian,Francis Marshall,Featherweight,win,"KO/TKO

      

        Elbows",1,4:48
UFC Fight Night: Luque vs. Dos Anjos,Martin Buday,Josh Parisian,Heavyweight,win,"SUB

      

        Kimura",1,4:11
UFC Fight Night: Luque vs. Dos Anjos,Jaqueline Amorim,Montserrat Conejo Ruiz,Women's Strawweight,win,"KO/TKO

      

        Punches",3,3:41
UFC Fight Night: Luque vs. Dos Anjos,Da'Mon Blackshear,Jose Johnson,Bantamweight,win,"SUB

      

        Twister",1,3:47
UFC Fight Night: Luque vs. Dos Anjos,Luana Santos,Juliana Miller,Women's Flyweight,win,"KO/TKO

      

        Punches",1,3:41
UFC Fight Night: Sandhagen vs. Font,Cory Sandhagen,Rob Font,Catch Weight,win,U-DEC,5,5:00
UFC Fight Night: Sandhagen vs. Font,Tatiana Suarez,Jessica Andrade,Women's Strawweight,win,"SUB

      

        Guillotine Choke",2,1:31
UFC Fight Night: Sandhagen vs. Font,Dustin Jacoby,Kennedy Nzechukwu,Light Heavyweight,win,"KO/TKO

      

        Punch",1,1:22
UFC Fight Night: Sandhagen vs. Font,Diego Lopes,Gavin Tucker,Featherweight,win,"SUB

      

        Triangle Armbar",1,1:38
UFC Fight Night: Sandhagen vs. Font,Tanner Boser,Aleksa Camur,Light Heavyweight,win,U-DEC,3,5:00
UFC Fight Night: Sandhagen vs. Font,Ludovit Klein,Ignacio Bahamondes,Lightweight,win,U-DEC,3,5:00
UFC Fight Night: Sandhagen vs. Font,Kyler Phillips,Raoni Barcelos,Bantamweight,win,U-DEC,3,5:00
UFC Fight Night: Sandhagen vs. Font,Carlston Harris,Jeremiah Wells,Welterweight,win,"SUB

      

        Anaconda Choke",3,1:50
UFC Fight Night: Sandhagen vs. Font,Billy Quarantillo,Damon Jackson,Featherweight,win,U-DEC,3,5:00
UFC Fight Night: Sandhagen vs. Font,Cody Durden,Jake Hadley,Flyweight,win,U-DEC,3,5:00
UFC Fight Night: Sandhagen vs. Font,Sean Woodson,Dennis Buzukja,Featherweight,win,U-DEC,3,5:00
UFC Fight Night: Sandhagen vs. Font,Asu Almabayev,Ode Osbourne,Flyweight,win,"SUB

      

        Rear Naked Choke",2,3:11
UFC 291: Poirier vs. Gaethje 2,Justin Gaethje,Dustin Poirier,Lightweight,win,"KO/TKO

      

        Kick",2,1:00
UFC 291: Poirier vs. Gaethje 2,Alex Pereira,Jan Blachowicz,Light Heavyweight,win,S-DEC,3,5:00
UFC 291: Poirier vs. Gaethje 2,Derrick Lewis,Marcos Rogerio de Lima,Heavyweight,win,"KO/TKO

      

        Punches",1,0:33
UFC 291: Poirier vs. Gaethje 2,King Green,Tony Ferguson,Lightweight,win,"SUB

      

        Arm Triangle",3,4:54
UFC 291: Poirier vs. Gaethje 2,Kevin Holland,Michael Chiesa,Welterweight,win,"SUB

      

        D'Arce Choke",1,2:39
UFC 291: Poirier vs. Gaethje 2,Gabriel Bonfim,Trevin Giles,Welterweight,win,"SUB

      

        Guillotine Choke",1,1:13
UFC 291: Poirier vs. Gaethje 2,CJ Vergara,Vinicius Salvador,Flyweight,win,U-DEC,3,5:00
UFC 291: Poirier vs. Gaethje 2,Roman Kopylov,Claudio Ribeiro,Middleweight,win,"KO/TKO

      

        Kick",2,0:33
UFC 291: Poirier vs. Gaethje 2,Jake Matthews,Darrius Flowers,Welterweight,win,"SUB

      

        Rear Naked Choke",2,2:37
UFC 291: Poirier vs. Gaethje 2,Uros Medic,Matthew Semelsberger,Welterweight,win,"KO/TKO

      

        Spinning Back Elbow",3,2:36
UFC 291: Poirier vs. Gaethje 2,Miranda Maverick,Priscila Cachoeira,Women's Flyweight,win,"SUB

      

        Armbar",3,2:11
UFC Fight Night: Aspinall vs. Tybura,Tom Aspinall,Marcin Tybura,Heavyweight,win,"KO/TKO

      

        Punch",1,1:13
UFC Fight Night: Aspinall vs. Tybura,Julija Stoliarenko,Molly McCann,Women's Flyweight,win,"SUB

      

        Armbar",1,1:55
UFC Fight Night: Aspinall vs. Tybura,Nathaniel Wood,Andre Fili,Featherweight,win,U-DEC,3,5:00
UFC Fight Night: Aspinall vs. Tybura,Paul Craig,Andre Muniz,Middleweight,win,"KO/TKO

      

        Elbows",2,4:40
UFC Fight Night: Aspinall vs. Tybura,Fares Ziam,Jai Herbert,Lightweight,win,U-DEC,3,5:00
UFC Fight Night: Aspinall vs. Tybura,Lerone Murphy,Josh Culibao,Featherweight,win,U-DEC,3,5:00
UFC Fight Night: Aspinall vs. Tybura,Daniel Marcos,Davey Grant,Bantamweight,win,S-DEC,3,5:00
UFC Fight Night: Aspinall vs. Tybura,Jonny Parsons,Danny Roberts,Welterweight,win,"KO/TKO

      

        Punches",2,4:57
UFC Fight Night: Aspinall vs. Tybura,Joel Alvarez,Marc Diakiese,Lightweight,win,"SUB

      

        D'Arce Choke",2,4:26
UFC Fight Night: Aspinall vs. Tybura,Mick Parkin,Jamal Pogues,Heavyweight,win,U-DEC,3,5:00
UFC Fight Night: Aspinall vs. Tybura,Makhmud Muradov,Bryan Barberena,Middleweight,win,U-DEC,3,5:00
UFC Fight Night: Aspinall vs. Tybura,Ketlen Vieira,Pannie Kianzad,Women's Bantamweight,win,U-DEC,3,5:00
UFC Fight Night: Aspinall vs. Tybura,Chris Duncan,Yanal Ashmouz,Lightweight,win,U-DEC,3,5:00
UFC Fight Night: Aspinall vs. Tybura,Bruna Brasil,Shauna Bannon,Women's Strawweight,win,U-DEC,3,5:00
UFC Fight Night: Aspinall vs. Tybura,Jafel Filho,Daniel Barez,Flyweight,win,"SUB

      

        Arm Triangle",1,3:26
UFC Fight Night: Holm vs. Bueno Silva,Holly Holm,Mayra Bueno Silva,Women's Bantamweight,"nc


nc","Overturned

      

        Guillotine Choke",2,0:38
UFC Fight Night: Holm vs. Bueno Silva,Jack Della Maddalena,Bassil Hafez,Welterweight,win,S-DEC,3,5:00
UFC Fight Night: Holm vs. Bueno Silva,Francisco Prado,Ottman Azaitar,Lightweight,win,"KO/TKO

      

        Punches",1,4:05
UFC Fight Night: Holm vs. Bueno Silva,JunYong Park,Albert Duraev,Middleweight,win,"SUB

      

        Rear Naked Choke",2,4:45
UFC Fight Night: Holm vs. Bueno Silva,Norma Dumont,Chelsea Chandler,Women's Featherweight,win,U-DEC,3,5:00
UFC Fight Night: Holm vs. Bueno Silva,Nazim Sadykhov,Terrance McKinney,Lightweight,win,"SUB

      

        Rear Naked Choke",2,1:07
UFC Fight Night: Holm vs. Bueno Silva,Melsik Baghdasaryan,Tucker Lutz,Featherweight,win,U-DEC,3,5:00
UFC Fight Night: Holm vs. Bueno Silva,Viktoriia Dudakova,Istela Nunes,Women's Strawweight,win,KO/TKO,1,0:34
UFC Fight Night: Holm vs. Bueno Silva,Melquizael Costa,Austin Lingo,Featherweight,win,U-DEC,3,5:00
UFC Fight Night: Holm vs. Bueno Silva,Evan Elder,Genaro Valdez,Lightweight,win,U-DEC,3,5:00
UFC Fight Night: Holm vs. Bueno Silva,Azat Maksum,Tyson Nam,Flyweight,win,S-DEC,3,5:00
UFC Fight Night: Holm vs. Bueno Silva,Alexander Munoz,Carl Deaton,Lightweight,win,U-DEC,3,5:00
UFC Fight Night: Holm vs. Bueno Silva,Ailin Perez,Ashlee Evans-Smith,Women's Bantamweight,win,U-DEC,3,5:00
UFC 290: Volkanovski vs. Rodriguez,Alexander Volkanovski,Yair Rodriguez,Featherweight,win,"KO/TKO

      

        Punches",3,4:19
UFC 290: Volkanovski vs. Rodriguez,Alexandre Pantoja,Brandon Moreno,Flyweight,win,S-DEC,5,5:00
UFC 290: Volkanovski vs. Rodriguez,Dricus Du Plessis,Robert Whittaker,Middleweight,win,"KO/TKO

      

        Punches",2,2:23
UFC 290: Volkanovski vs. Rodriguez,Dan Hooker,Jalin Turner,Lightweight,win,S-DEC,3,5:00
UFC 290: Volkanovski vs. Rodriguez,Bo Nickal,Val Woodburn,Middleweight,win,"KO/TKO

      

        Punches",1,0:38
UFC 290: Volkanovski vs. Rodriguez,Robbie Lawler,Niko Price,Welterweight,win,"KO/TKO

      

        Punches",1,0:38
UFC 290: Volkanovski vs. Rodriguez,Tatsuro Taira,Edgar Chairez,Catch Weight,win,U-DEC,3,5:00
UFC 290: Volkanovski vs. Rodriguez,Denise Gomes,Yazmin Jauregui,Women's Strawweight,win,"KO/TKO

      

        Punches",1,0:20
UFC 290: Volkanovski vs. Rodriguez,Alonzo Menifield,Jimmy Crute,Light Heavyweight,win,"SUB

      

        Guillotine Choke",2,1:55
UFC 290: Volkanovski vs. Rodriguez,Vitor Petrino,Marcin Prachnio,Light Heavyweight,win,"SUB

      

        Arm Triangle",3,3:42
UFC 290: Volkanovski vs. Rodriguez,Cameron Saaiman,Terrence Mitchell,Bantamweight,win,"KO/TKO

      

        Punches",1,3:10
UFC 290: Volkanovski vs. Rodriguez,Jesus Aguilar,Shannon Ross,Flyweight,win,"KO/TKO

      

        Punch",1,0:17
UFC 290: Volkanovski vs. Rodriguez,Esteban Ribovics,Kamuela Kirk,Lightweight,win,U-DEC,3,5:00
UFC Fight Night: Strickland vs. Magomedov,Sean Strickland,Abus Magomedov,Middleweight,win,"KO/TKO

      

        Punches",2,4:20
UFC Fight Night: Strickland vs. Magomedov,Grant Dawson,Damir Ismagulov,Lightweight,win,U-DEC,3,5:00
UFC Fight Night: Strickland vs. Magomedov,Michael Morales,Max Griffin,Welterweight,win,U-DEC,3,5:00
UFC Fight Night: Strickland vs. Magomedov,Ariane da Silva,Melissa Gatto,Women's Flyweight,win,S-DEC,3,5:00
UFC Fight Night: Strickland vs. Magomedov,Benoit Saint Denis,Ismael Bonfim,Lightweight,win,"SUB

      

        Rear Naked Choke",1,4:48
UFC Fight Night: Strickland vs. Magomedov,Nursulton Ruziboev,Brunno Ferreira,Middleweight,win,"KO/TKO

      

        Punches",1,1:17
UFC Fight Night: Strickland vs. Magomedov,Rinat Fakhretdinov,Kevin Lee,Welterweight,win,"SUB

      

        Guillotine Choke",1,0:55
UFC Fight Night: Strickland vs. Magomedov,Joanderson Brito,Westin Wilson,Featherweight,win,"KO/TKO

      

        Punches",1,2:54
UFC Fight Night: Strickland vs. Magomedov,Karol Rosa,Yana Santos,Women's Featherweight,win,S-DEC,3,5:00
UFC Fight Night: Strickland vs. Magomedov,Elves Brener,Guram Kutateladze,Lightweight,win,"KO/TKO

      

        Punch",3,3:17
UFC Fight Night: Strickland vs. Magomedov,Luana Carolina,Ivana Petrovic,Women's Flyweight,win,U-DEC,3,5:00
UFC Fight Night: Strickland vs. Magomedov,Alexandr Romanov,Blagoy Ivanov,Heavyweight,win,U-DEC,3,5:00
UFC Fight Night: Emmett vs. Topuria,Ilia Topuria,Josh Emmett,Featherweight,win,U-DEC,5,5:00
UFC Fight Night: Emmett vs. Topuria,Maycee Barber,Amanda Ribas,Women's Flyweight,win,"KO/TKO

      

        Elbows",2,3:42
UFC Fight Night: Emmett vs. Topuria,Austen Lane,Justin Tafa,Heavyweight,"nc


nc",CNC,1,0:29
UFC Fight Night: Emmett vs. Topuria,David Onama,Gabriel Santos,Featherweight,win,"KO/TKO

      

        Punch",2,4:13
UFC Fight Night: Emmett vs. Topuria,Brendan Allen,Bruno Silva,Middleweight,win,"SUB

      

        Rear Naked Choke",1,4:39
UFC Fight Night: Emmett vs. Topuria,Neil Magny,Phil Rowe,Welterweight,win,S-DEC,3,5:00
UFC Fight Night: Emmett vs. Topuria,Randy Brown,Wellington Turman,Welterweight,win,U-DEC,3,5:00
UFC Fight Night: Emmett vs. Topuria,Mateusz Rebecki,Loik Radzhabov,Lightweight,win,"KO/TKO

      

        Punch",2,2:36
UFC Fight Night: Emmett vs. Topuria,Tabatha Ricci,Gillian Robertson,Women's Strawweight,win,U-DEC,3,5:00
UFC Fight Night: Emmett vs. Topuria,Joshua Van,Zhalgas Zhumagulov,Flyweight,win,S-DEC,3,5:00
UFC Fight Night: Emmett vs. Topuria,Chepe Mariscal,Trevor Peek,Lightweight,win,U-DEC,3,5:00
UFC Fight Night: Emmett vs. Topuria,Jack Jenkins,Jamall Emmers,Featherweight,win,S-DEC,3,5:00
UFC Fight Night: Emmett vs. Topuria,Sedriques Dumas,Cody Brundage,Middleweight,win,U-DEC,3,5:00
UFC Fight Night: Vettori vs. Cannonier,Jared Cannonier,Marvin Vettori,Middleweight,win,U-DEC,5,5:00
UFC Fight Night: Vettori vs. Cannonier,Arman Tsarukyan,Joaquim Silva,Lightweight,win,"KO/TKO

      

        Punches",3,3:25
UFC Fight Night: Vettori vs. Cannonier,Armen Petrosyan,Christian Leroy Duncan,Middleweight,win,U-DEC,3,5:00
UFC Fight Night: Vettori vs. Cannonier,Pat Sabatini,Lucas Almeida,Featherweight,win,"SUB

      

        Arm Triangle",2,1:48
UFC Fight Night: Vettori vs. Cannonier,Manuel Torres,Nikolas Motta,Lightweight,win,"KO/TKO

      

        Elbow",1,1:50
UFC Fight Night: Vettori vs. Cannonier,Nicolas Dalby,Muslim Salikhov,Welterweight,win,U-DEC,3,5:00
UFC Fight Night: Vettori vs. Cannonier,Alessandro Costa,Jimmy Flick,Flyweight,win,"KO/TKO

      

        Elbows",2,1:03
UFC Fight Night: Vettori vs. Cannonier,Kyung Ho Kang,Cristian Quinonez,Bantamweight,win,"SUB

      

        Rear Naked Choke",1,2:25
UFC Fight Night: Vettori vs. Cannonier,Carlos Hernandez,Denys Bondar,Flyweight,win,U-DEC,3,4:59
UFC Fight Night: Vettori vs. Cannonier,Tereza Bleda,Gabriella Fernandes,Women's Flyweight,win,U-DEC,3,5:00
UFC Fight Night: Vettori vs. Cannonier,Dan Argueta,Ronnie Lawrence,Bantamweight,"nc


nc",Overturned,1,2:20
UFC Fight Night: Vettori vs. Cannonier,Modestas Bukauskas,Zac Pauga,Light Heavyweight,win,U-DEC,3,5:00
UFC 289: Nunes vs. Aldana,Amanda Nunes,Irene Aldana,Women's Bantamweight,win,U-DEC,5,5:00
UFC 289: Nunes vs. Aldana,Charles Oliveira,Beneil Dariush,Lightweight,win,"KO/TKO

      

        Punches",1,4:10
UFC 289: Nunes vs. Aldana,Mike Malott,Adam Fugitt,Welterweight,win,"SUB

      

        Guillotine Choke",2,1:06
UFC 289: Nunes vs. Aldana,Dan Ige,Nate Landwehr,Featherweight,win,U-DEC,3,5:00
UFC 289: Nunes vs. Aldana,Marc-Andre Barriault,Eryk Anders,Middleweight,win,U-DEC,3,5:00
UFC 289: Nunes vs. Aldana,Nassourdine Imavov,Chris Curtis,Middleweight,"nc


nc",CNC,2,3:04
UFC 289: Nunes vs. Aldana,Jasmine Jasudavicius,Miranda Maverick,Women's Flyweight,win,U-DEC,3,5:00
UFC 289: Nunes vs. Aldana,Aiemann Zahabi,Aoriqileng,Bantamweight,win,"KO/TKO

      

        Punch",1,1:04
UFC 289: Nunes vs. Aldana,Kyle Nelson,Blake Bilder,Featherweight,win,U-DEC,3,5:00
UFC 289: Nunes vs. Aldana,Steve Erceg,David Dvorak,Flyweight,win,U-DEC,3,5:00
UFC 289: Nunes vs. Aldana,Diana Belbita,Maria Oliveira,Women's Strawweight,win,U-DEC,3,5:00
UFC Fight Night: Kara-France vs. Albazi,Amir Albazi,Kai Kara-France,Flyweight,win,S-DEC,5,5:00
UFC Fight Night: Kara-France vs. Albazi,Alex Caceres,Daniel Pineda,Featherweight,win,U-DEC,3,5:00
UFC Fight Night: Kara-France vs. Albazi,Jim Miller,Jesse Butler,Lightweight,win,"KO/TKO

      

        Punch",1,0:23
UFC Fight Night: Kara-France vs. Albazi,Tim Elliott,Victor Altamirano,Flyweight,win,U-DEC,3,5:00
UFC Fight Night: Kara-France vs. Albazi,Karine Silva,Ketlen Souza,Women's Flyweight,win,"SUB

      

        Other - Lock",1,1:45
UFC Fight Night: Kara-France vs. Albazi,Elizeu Zaleski dos Santos,Abubakar Nurmagomedov,Welterweight,win,S-DEC,3,5:00
UFC Fight Night: Kara-France vs. Albazi,Daniel Santos,Johnny Munoz,Bantamweight,win,U-DEC,3,5:00
UFC Fight Night: Kara-France vs. Albazi,Don'Tale Mayes,Andrei Arlovski,Heavyweight,win,"KO/TKO

      

        Punch",2,3:17
UFC Fight Night: Kara-France vs. Albazi,John Castaneda,Muin Gafurov,Bantamweight,win,U-DEC,3,5:00
UFC Fight Night: Kara-France vs. Albazi,Muhammad Naimov,Jamie Mullarkey,Lightweight,win,"KO/TKO

      

        Punch",2,2:59
UFC Fight Night: Kara-France vs. Albazi,Elise Reed,Jinh Yu Frey,Women's Strawweight,win,U-DEC,3,5:00
UFC Fight Night: Kara-France vs. Albazi,Da'Mon Blackshear,Luan Lacerda,Bantamweight,win,"KO/TKO

      

        Punches",2,3:54
UFC Fight Night: Kara-France vs. Albazi,Philipe Lins,Maxim Grishin,Light Heavyweight,win,U-DEC,3,5:00
UFC Fight Night: Dern vs. Hill,Mackenzie Dern,Angela Hill,Women's Strawweight,win,U-DEC,5,5:00
UFC Fight Night: Dern vs. Hill,Anthony Hernandez,Edmen Shahbazyan,Middleweight,win,"KO/TKO

      

        Elbows",3,1:01
UFC Fight Night: Dern vs. Hill,Loopy Godinez,Emily Ducote,Catch Weight,win,U-DEC,3,5:00
UFC Fight Night: Dern vs. Hill,Joaquin Buckley,Andre Fialho,Welterweight,win,"KO/TKO

      

        Kick",2,4:15
UFC Fight Night: Dern vs. Hill,Diego Ferreira,Michael Johnson,Lightweight,win,"KO/TKO

      

        Punch",2,1:50
UFC Fight Night: Dern vs. Hill,Viacheslav Borshchev,Maheshate,Lightweight,win,"KO/TKO

      

        Punch",2,2:37
UFC Fight Night: Dern vs. Hill,Karolina Kowalkiewicz,Vanessa Demopoulos,Women's Strawweight,win,U-DEC,3,5:00
UFC Fight Night: Dern vs. Hill,Gilbert Urbina,Orion Cosce,Welterweight,win,"KO/TKO

      

        Kick",2,2:55
UFC Fight Night: Dern vs. Hill,Rodrigo Nascimento,Ilir Latifi,Heavyweight,win,S-DEC,3,5:00
